,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,polarity,subjectivity
70,1454129211954716679,1454129211954716679,2021-10-29 09:53:15 PDT,2021-10-29,9:53:15,-700,14816854,katiebakes,katiebakes,,pretty sad that the timing won't line up for Heather Gay's daughter to live in Munger Hall,en,[],[],[],0,0,5,[],[],https://twitter.com/katiebakes/status/1454129211954716679,0.07575757575757576,0.7708333333333334
71,1454125133065506822,1454125133065506822,2021-10-29 09:37:02 PDT,2021-10-29,9:37:02,-700,3171906881,nickatnews,Nicholas Bogel-Burroughs,,"Architect resigns in protest: ""Munger Hall as a place for students to live is unsupportable from my perspective as an architect, a parent and a human being.""  UCSB: ""We are delighted to be moving forward with this transformational project.""  By @asumishuda  https://t.co/Rg2ZNfqlfH",en,"[{'screen_name': 'asumishuda', 'name': 'asumi shuda', 'id': '1385371898045816834'}]",['https://dailynexus.com/2021-10-28/munger-halls-architectural-consultant-resigns-in-protest-of-its-construction/'],[],4,25,43,[],[],https://twitter.com/NickAtNews/status/1454125133065506822,0.27878787878787875,0.4333333333333333
72,1454123740606914563,1454123740606914563,2021-10-29 09:31:30 PDT,2021-10-29,9:31:30,-700,38232102,aawayne,Alex Wayne,,"“Munger Hall, in comparison, is a single block housing 4,500 students with two entrances,” McFadden said, and would qualify as the eighth densest neighborhood on the planet, falling just short of Dhaka, Bangladesh.  https://t.co/iE0iYFzrWX",en,[],['https://www.independent.com/2021/10/28/architect-resigns-in-protest-over-ucsb-mega-dorm/'],[],1,2,3,[],[],https://twitter.com/aawayne/status/1454123740606914563,-0.03571428571428571,0.2571428571428571
73,1454095304463114245,1454094952439418881,2021-10-29 07:38:31 PDT,2021-10-29,7:38:31,-700,103016675,aaronmehta,Aaron Mehta,,"“Munger Hall, in comparison, is a single block housing 4,500 students with two entrances,” McFadden said, and would qualify as the eighth densest neighborhood on the planet, falling just short of Dhaka, Bangladesh""",en,[],[],[],0,0,3,[],[],https://twitter.com/AaronMehta/status/1454095304463114245,-0.03571428571428571,0.2571428571428571
74,1454037475668762629,1454037475668762629,2021-10-29 03:48:43 PDT,2021-10-29,3:48:43,-700,72389498,jensmithnyc,Jennifer Smith,,"“Munger Hall, in comparison, is a single block housing 4,500 students with two entrances,” McFadden said, and would qualify as the eighth densest neighborhood on the planet, falling just short of Dhaka, Bangladesh.  https://t.co/27XGozZwED",en,[],['https://www.independent.com/2021/10/28/architect-resigns-in-protest-over-ucsb-mega-dorm/'],[],1,1,1,[],[],https://twitter.com/JenSmithNYC/status/1454037475668762629,-0.03571428571428571,0.2571428571428571
75,1453937945128280070,1453937945128280070,2021-10-28 21:13:13 PDT,2021-10-28,21:13:13,-700,16194566,michaelroston,Michael Roston,,"“”Munger Hall, in comparison, is a single block housing 4,500 students with two entrances,” McFadden said, and would qualify as the eighth densest neighborhood on the planet, falling just short of Dhaka, Bangladesh.”  https://t.co/vXyZPngAMY",en,[],['https://www.independent.com/2021/10/28/architect-resigns-in-protest-over-ucsb-mega-dorm/'],[],48,55,172,[],[],https://twitter.com/michaelroston/status/1453937945128280070,-0.03571428571428571,0.2571428571428571
76,1453903146606944271,1453902391317712896,2021-10-28 18:54:57 PDT,2021-10-28,18:54:57,-700,180159310,leapingrobot,Patrick McCray,,"Munger Hall is a single block housing 4,500 students with two entrances and would qualify as the eighth densest neighborhood on the planet, falling just short of Dhaka, Bangladesh. It would be able to house Princeton University’s entire undergraduate population.",en,[],[],[],1,0,0,[],[],https://twitter.com/LeapingRobot/status/1453903146606944271,0.10714285714285715,0.44107142857142856
77,1433293827691925517,1432646687198044164,2021-09-01 22:00:52 PDT,2021-09-01,22:00:52,-700,2579558348,indiapostoffice,India Post,,@sasi05manipal As per reply received from SPOs Munger There are three ceiling fans are available as per space in public hall of Jamui HO and all are in working condition.,en,[],[],[],0,0,0,[],[],https://twitter.com/IndiaPostOffice/status/1433293827691925517,0.2,0.23333333333333334
78,1433017206674165763,1432646687198044164,2021-09-01 03:41:40 PDT,2021-09-01,3:41:40,-700,2579558348,indiapostoffice,India Post,,@sasi05manipal As per reply received by SPOs Munger Respected Sir There are three ceiling fans are available as per space in public hall of Jamui HO and all are in working condition.,en,[],[],[],1,0,0,[],[],https://twitter.com/IndiaPostOffice/status/1433017206674165763,0.2,0.23333333333333334
79,1420474373140537351,1420474373140537351,2021-07-28 13:00:56 PDT,2021-07-28,13:00:56,-700,18105473,ucsantabarbara,UC Santa Barbara,,"#UCSB is preparing to build a new residence hall. Munger Hall will fulfill the university’s commitment to provide not only more student housing, but housing that is both better and more affordable for students.  https://t.co/MURf9GCqZg",en,[],['http://ow.ly/jz0B50FFG96'],[],3,8,41,['ucsb'],[],https://twitter.com/ucsantabarbara/status/1420474373140537351,0.32727272727272727,0.5909090909090909
